Prospect ID, Full Name, Phone Number, ID Number, CIF Number, Vikki Account Number, HDBank CIF Number, Case ID, Date
'1356140955107409920,LÊ THANH TRÚC VI,+84990011239,015831031239,44681501,880672145,'N/A,AUT17433996056150838,2025-03-31 12:40:24
'1356141214759993344,LÊ THANH TRÚC VI,+84990011241,010031031241,44681479,880674093,'N/A,AUT17433996680870683,2025-03-31 12:41:29
'1356141228433424384,LÊ THANH TRÚC VI,+84990021241,020331031241,44687840,880677008,'N/A,AUT17433996705974326,2025-03-31 12:41:30
'1356141252571643904,LÊ THANH TRÚC VI,+84990041241,040931031241,44687833,880343781,'N/A,AUT17433996765361644,2025-03-31 12:41:37
'1356141239930011648,LÊ THANH TRÚC VI,+84990031241,030631031241,44687860,880012193,'N/A,AUT17433996729432637,2025-03-31 12:41:37
'1356141265838227456,LÊ THANH TRÚC VI,+84990051241,051231031241,44687832,880673009,'N/A,AUT17433996799417698,2025-03-31 12:41:47
'1356141306783023104,LÊ THANH TRÚC VI,+84990081241,082131031241,44687867,880670393,'N/A,AUT17433996897635035,2025-03-31 12:41:50
'1356141278010097664,LÊ THANH TRÚC VI,+84990061241,061531031241,44687819,880679486,'N/A,AUT17433996827875313,2025-03-31 12:41:51
'1356141291243126784,LÊ THANH TRÚC VI,+84990071241,071831031241,44687823,880674307,'N/A,AUT17433996861574662,2025-03-31 12:41:53
'1356141332590575616,LÊ THANH TRÚC VI,+84990101241,102731031241,44687810,880340776,'N/A,AUT17433996955623665,2025-03-31 12:41:55
'1356141318912950272,LÊ THANH TRÚC VI,+84990091241,092431031241,44687821,880671184,'N/A,AUT17433996924513470,2025-03-31 12:41:57
'1356142165109587968,LÊ THANH TRÚC VI,+84990461244,014631031244,44687839,880347010,'N/A,AUT17433998961842476,2025-03-31 12:45:20
'1356148275627507712,LÊ THANH TRÚC VI,+84990031309,010331031309,44687815,880675016,'N/A,AUT17434013533527480,2025-03-31 13:09:35
'1356149204028309504,LÊ THANH TRÚC VI,+84990451312,014531031312,44687858,880677427,'N/A,AUT17434015734639199,2025-03-31 13:13:10
'1356150213484036096,LÊ THANH TRÚC VI,+84990451316,014531031316,44687869,880010027,'N/A,AUT17434018144703496,2025-03-31 13:17:15
'1356152020901904384,LÊ THANH TRÚC VI,+84990561323,015631031323,44687870,880345052,'N/A,AUT17434022459043852,2025-03-31 13:24:26
'1362739359643406336,LÊ THANH TRÚC VI,+84990411739,014118041739,44686613,880677685,'N/A,AUT17449727900714025,2025-04-18 17:40:08
'1362739553122455552,LÊ THANH TRÚC VI,+84990271740,012718041740,44686647,880679683,'N/A,AUT17449728342448789,2025-04-18 17:40:52
